Year,PipeID,Action,Cost,Priority_Score,Condition_Before
1,MH-2-033_MH-2-032,Lining,20134.350221999997,71.25000000000001,1.0
1,MH-2-050_MH-2-049,Lining,9473.913112999999,71.25000000000001,1.0
1,MH-3-048_MH-3-047,Lining,14658.116781,71.25000000000001,1.0
1,MH-1-011_MH-1-010,Lining,14519.509144,71.25,1.0
1,MH-2-002_MH-2-001,Lining,25496.745344,71.25,1.0
1,MH-2-014_MH-2-002,Lining,26273.95631,71.25,1.0
1,MH-2-015_MH-2-014,Lining,26448.810381,71.25,1.0
1,MH-2-016_MH-2-015,Lining,26426.558683,71.25,1.0
1,MH-2-019_MH-2-018,Lining,15286.080872999999,71.25,1.0
1,MH-2-020_MH-2-019,Lining,12174.16459,71.25,1.0
1,MH-2-028_MH-2-027,Lining,24268.874475999997,71.25,1.0
1,MH-2-031_MH-2-028,Lining,15057.690368,71.25,1.0
1,MH-1-005_MH-1-004,Lining,10239.702823,71.25,1.0
1,MH-2-027_MH-2-026,Lining,13901.98859,71.25,1.0
1,MH-2-025_MH-2-024,Lining,19713.35541,71.25,1.0
1,MH-2-024_MH-2-023,Lining,16201.806396999998,71.25,1.0
1,MH-2-023_MH-2-022,Lining,13366.400061,71.25,1.0
1,MH-2-021_MH-2-020,Lining,10588.090183999999,71.25,1.0
1,MH-2-035_MH-2-034,Lining,10380.524714000001,71.25,1.0
1,MH-5-052_MH-5-051,Lining,1019.4185057,71.25,1.0
1,MH-5-058_MH-5-057,Lining,6320.4170813,71.25,1.0
1,MH-3-040_MH-3-039,Repair,8604.515925,0.12876487926151806,2.842079422837452
1,MH-3-038_MH-3-037,Repair,5399.4235257,0.11887708393575537,2.8525466266860375
1,MH-3-026_MH-3-025,Repair,2629.68772428,0.10470908148407033,2.867952429982234
1,MH-3-065_MH-3-001,Repair,2757.8770245,0.09141429367867415,2.88286918349239
1,MH-3-039_MH-3-038,Repair,4427.1878427,0.0803166878363201,2.8956818071322683
1,MH-3-037_MH-3-036,Repair,3051.6494607,0.07414848145319261,2.9029519343032657
1,MH-1-021_MH-1-020,Repair,8697.36879,0.06495421160361418,2.9139940506370556
1,MH-3-035_MH-3-032,Repair,4824.3045311999995,0.06345588410867822,2.915817415856133
1,MH-3-002_MH-3-001,Repair,2163.66333597,0.058631252690343444,2.9217353162380473
2,MH-3-053_MH-3-052,Lining,8149.900772999999,71.25,1.0
2,MH-3-060_MH-3-059,Lining,21025.577769000003,71.25,1.0
2,MH-2-047_MH-2-046,Lining,14299.028695,71.25,1.0
2,MH-3-001_MH-2-001,Lining,26644.265837,71.25,1.0
2,MH-3-005_MH-3-004,Lining,27628.649376999998,71.25,1.0
2,MH-3-050_MH-3-049,Lining,2979.9171241,71.25,1.0
2,MH-3-022_MH-3-012,Lining,8808.35025,71.25,1.0
2,MH-2-054_MH-2-053,Lining,6421.794637999999,71.25,1.0
2,MH-2-053_MH-2-050,Lining,10717.242186,71.25,1.0
2,MH-2-051_MH-2-035,Lining,6800.7812691,71.25,1.0
2,MH-2-043_MH-2-042,Lining,10184.929146,71.25,1.0
2,MH-3-028_MH-3-022,Lining,9737.228431000001,71.25,1.0
2,MH-3-036_MH-3-035,Lining,12677.549863999999,71.25,1.0
2,MH-2-041_MH-2-040A,Lining,10692.686697,71.25,1.0
2,MH-6-017_MH-6-016,Lining,15443.798839,71.25,1.0
2,MH-6-022_MH-6-021,Lining,17536.802198999998,71.25,1.0
2,MH-6-023_MH-6-022,Lining,14098.895041,71.25,1.0
2,MH-3-056_MH-3-055,Lining,22400.329259,71.25,1.0
2,MH-3-020_MH-3-019,Lining,4896.050894,71.25,1.0
2,MH-3-019_MH-3-018,Lining,5314.831666200001,71.25,1.0
2,MH-3-018_MH-3-017,Lining,4931.942176,71.25,1.0
2,MH-3-017_MH-3-014,Lining,10088.180445,71.25,1.0
2,MH-3-016_MH-3-015,Lining,7635.352109,71.25,1.0
